PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39232978,Vision loss and diabetic retinopathy prevalence and risk among a cohort of Indigenous and non-Indigenous Australians with type 2 diabetes receiving renal haemodialysis treatment: The retinopathy in people currently on renal dialysis (RiPCORD) study.,2024,"Estevez, Jose J; Howard, Natasha J","Caring Futures Institute, College of Nursing and Health Sciences, Optometry and Vision Science, Flinders University, Adelaide, Australia; Flinders Centre for Ophthalmology, Eye and Vision Research, Department of Ophthalmology, Flinders University, Adelaide, Australia; Wardliparingga Aboriginal Health Equity Theme, South Australia Health and Medical Research Institute, Adelaide, Australia. Electronic address: jose.estevez@flinders.edu.au.; Wardliparingga Aboriginal Health Equity Theme, South Australia Health and Medical Research Institute, Adelaide, Australia; Faculty of Health and Medical Sciences, University of Adelaide, Adelaide, Australia.",jose.estevez@flinders.edu.au.
39232705,Blunted tachycardia and cardiac sympathetic denervation in isolated rapid eye movement sleep behavior disorder.,2024/Sep/04,None,None,fujiwara.koichi@hps.material.nagoya-u.ac.jp.
39222156,Dietary patterns during pregnancy and maternal and birth outcomes in women with type 1 diabetes: the Environmental Determinants of Islet Autoimmunity (ENDIA) study.,2024,"Thomson, Rebecca L; Brown, James D; Oakey, Helena; Ashwood, Pat; Penno, Megan A S; McGorm, Kelly J; Couper, Jennifer J","Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, University of Adelaide, Adelaide, SA, Australia. r.thomson@adelaide.edu.au.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, University of Adelaide, Adelaide, SA, Australia.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, University of Adelaide, Adelaide, SA, Australia.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, University of Adelaide, Adelaide, SA, Australia.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, University of Adelaide, Adelaide, SA, Australia.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, University of Adelaide, Adelaide, SA, Australia.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, University of Adelaide, Adelaide, SA, Australia.",r.thomson@adelaide.edu.au.
39187951,Epidemiology of Brachial Plexus Birth Injury and the Impact of Cesarean Section on Its Incidence.,2025/Jan/01,None,None,None
39186289,"Symptoms of Depression, Eating Disorders, and Binge Eating in Adolescents With Obesity: The Fast Track to Health Randomized Clinical Trial.",2024/Oct/01,None,None,None
39186288,Intermittent Energy Restriction for Adolescents With Obesity: The Fast Track to Health Randomized Clinical Trial.,2024/Oct/01,None,None,None
39181778,Postoperative Hydration in Children Using Intermittent Boluses of Balanced Salt Solution: Results of a Randomized Control Trial.,2024,None,None,Mattei@chop.edu.
39181550,Maternal modifiable factors and risk of congenital heart defects: systematic review and causality assessment.,2024/Aug/24,"Fernandez, Renae C; Grzeskowiak, Luke E; Davies, Michael J; Rumbold, Alice R","Robinson Research Institute, Discipline of Obstetrics and Gynaecology, The University of Adelaide, Adelaide, South Australia, Australia.; Women and Kids Theme, South Australian Health and Medical Research Institute and College of Medicine and Public Health, Flinders University, Adelaide, South Australia, Australia.; The Robinson Research Institute and Lifecourse and Intergenerational Health Research Group, The University of Adelaide, Adelaide, South Australia, Australia.; Women and Kids Theme, South Australian Health and Medical Research Institute, Adelaide, South Australia, Australia.",judith.gomersall@adelaide.edu.au.
39166298,"Cracking the type 1 diabetes code: Genes, microbes, immunity, and the early life environment.",2024,"Yau, Christopher; Danska, Jayne S","Genetics and Genome Biology, The Hospital for Sick Children Research Institute, Toronto, Ontario, Canada.; Genetics and Genome Biology, The Hospital for Sick Children Research Institute, Toronto, Ontario, Canada.",None
39159241,Early Dysglycemia Is Detectable Using Continuous Glucose Monitoring in Very Young Children at Risk of Type 1 Diabetes.,2024/Oct/01,"Penno, Megan A S; Anderson, Amanda J; McGorm, Kelly J; Oakey, Helena","Faculty of Health and Medical Sciences and Robinson Research Institute, Adelaide Medical School, University of Adelaide, Adelaide, South Australia, Australia.; Faculty of Health and Medical Sciences and Robinson Research Institute, Adelaide Medical School, University of Adelaide, Adelaide, South Australia, Australia.; Faculty of Health and Medical Sciences and Robinson Research Institute, Adelaide Medical School, University of Adelaide, Adelaide, South Australia, Australia.; Faculty of Health and Medical Sciences and Robinson Research Institute, Adelaide Medical School, University of Adelaide, Adelaide, South Australia, Australia.",None
39134760,Feasibility and acceptability of implementing an evidence-based ESCALATION system for paediatric clinical deterioration.,2024/Aug/13,None,None,f.gill@curtin.edu.au.
39129150,Protocol for the Australian Type 1 Diabetes National Screening Pilot: Assessing the feasibility and acceptability of three general population screening models in children.,2024,None,None,None
39126765,The potential therapeutic role of IL-35 in pathophysiological processes in type 1 diabetes mellitus.,2024,None,None,rehab.khalil@science.bsu.edu.eg.
39103865,Correction: Can flash glucose monitoring improve glucose management for Aboriginal and Torres Strait Islander peoples with type 2 diabetes? A protocol for a randomised controlled trial.,2024/Aug/05,None,None,elif.ekinci@unimelb.edu.au.
39103837,"Benefits, implementation and sustainability of innovative paediatric models of care for children with type 1 diabetes: a systematic review.",2024/Aug/05,"Carrigan, Ann; Sarkies, Mitchell; Dammery, Genevieve; Halim, Nicole; Singh, Nehal; Lake, Rebecca; Braithwaite, Jeffrey; Zurynski, Yvonne","Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, 75 Talavera Road, Sydney, Australia.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, 75 Talavera Road, Sydney, Australia.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, 75 Talavera Road, Sydney, Australia.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, 75 Talavera Road, Sydney, Australia.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, 75 Talavera Road, Sydney, Australia.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, 75 Talavera Road, Sydney, Australia.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, 75 Talavera Road, Sydney, Australia.; Centre for Healthcare Resilience and Implementation Science, Australian Institute of Health Innovation, Macquarie University, 75 Talavera Road, Sydney, Australia. Yvonne.Zurynski@mq.edu.au.",Yvonne.Zurynski@mq.edu.au.
39078700,Development of a Novel Mobile Health App to Empower Young People With Type 1 Diabetes to Exercise Safely: Co-Design Approach.,2024/Jul/30,None,None,None
39042661,Translation of culturally and contextually informed diabetes training for Aboriginal primary health care providers on Aboriginal client outcomes: Protocol of a cluster randomized crossover trial of effectiveness.,2024,"Pearson, Odette; Ishaque, Sana; Crossing, Sarah; Davey, Sarah; Toohey, Tinarra; Kaur, Satinder; Brown, Alex; Brodie, Tina; Othman, Shwikar; Morey, Kim","Wardliparingga Aboriginal Health Equity, South Australian Health and Medical Research Institute, Adelaide, South Australia, Australia.; Wardliparingga Aboriginal Health Equity, South Australian Health and Medical Research Institute, Adelaide, South Australia, Australia.; Wardliparingga Aboriginal Health Equity, South Australian Health and Medical Research Institute, Adelaide, South Australia, Australia.; Aboriginal Health Council of South Australia Ltd, Adelaide, SA, Australia.; Wardliparingga Aboriginal Health Equity, South Australian Health and Medical Research Institute, Adelaide, South Australia, Australia.; Diabetes SA, The Diabetic Association of South Australia Incorporated, SA Health, Adelaide, South Australia, Australia.; Wardliparingga Aboriginal Health Equity, South Australian Health and Medical Research Institute, Adelaide, South Australia, Australia.; Wardliparingga Aboriginal Health Equity, South Australian Health and Medical Research Institute, Adelaide, South Australia, Australia.; Wardliparingga Aboriginal Health Equity, South Australian Health and Medical Research Institute, Adelaide, South Australia, Australia.; Wardliparingga Aboriginal Health Equity, South Australian Health and Medical Research Institute, Adelaide, South Australia, Australia.",None
39030640,Can flash glucose monitoring improve glucose management for Aboriginal and Torres Strait Islander peoples with type 2 diabetes? A protocol for a randomised controlled trial.,2024/Jul/19,None,None,elif.ekinci@unimelb.edu.au.
39016627,"Prevalence, diagnostic features, and medical outcomes of females with Turner syndrome with a trisomy X cell line (45,X/47,XXX): Results from the InsighTS Registry.",2024,None,None,None
39013632,Environmental Determinants of Islet Autoimmunity (ENDIA) longitudinal prospective pregnancy to childhood cohort study of Australian children at risk of type 1 diabetes: parental demographics and birth information.,2024/Jul/16,"Thomson, Rebecca L; Oakey, Helena; Anderson, Amanda; Ashwood, Pat; Barry, Simon; Brown, James D; Huynh, Dao; McGorm, Kelly J; Penno, Megan A S; Couper, Jennifer J","Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, The University of Adelaide, Adelaide, South Australia, Australia r.thomson@adelaide.edu.au.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, The University of Adelaide, Adelaide, South Australia, Australia.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, The University of Adelaide, Adelaide, South Australia, Australia.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, The University of Adelaide, Adelaide, South Australia, Australia.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, The University of Adelaide, Adelaide, South Australia, Australia.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, The University of Adelaide, Adelaide, South Australia, Australia.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, The University of Adelaide, Adelaide, South Australia, Australia.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, The University of Adelaide, Adelaide, South Australia, Australia.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, The University of Adelaide, Adelaide, South Australia, Australia.; Adelaide Medical School, Faculty of Health and Medical Sciences and Robinson Research Institute, The University of Adelaide, Adelaide, South Australia, Australia.",r.thomson@adelaide.edu.au.
39006675,The Diagnosis and Initial Management of Children Presenting With Premature Loss of Primary Teeth Associated With a Systemic Condition.,2024,None,None,None
38990108,Improving screening in a paediatric cohort for cystic fibrosis-related diabetes: A quality improvement project.,2024,None,None,None
38827803,Low dose insulin infusion versus the standard dose in children with diabetic ketoacidosis: a meta-analysis.,2024,None,None,None
38816708,"Shoulder dystocia in babies born to Aboriginal mothers with diabetes: a population-based cohort study, 1998-2015.",2024/May/30,None,None,marwan.ahmed@uwa.edu.au.
38807582,Screening for Nephropathy in Pediatric Type 2 Diabetes: Quality Improvement to Increase Nephropathy Screening.,2024,None,None,None
38762324,"Global burden and strength of evidence for 88 risk factors in 204 countries and 811 subnational locations, 1990-2021: a systematic analysis for the Global Burden of Disease Study 2021.",2024/May/18,None,None,None
38748847,Clinical practice guidelines for the care of girls and women with Turner syndrome.,2024/Jun/05,None,None,None
38732585,"The Association of Malnutrition and Health-Related Factors among 474,467 Older Community-Dwellers: A Population-Based Data Mining Study in Guangzhou, China.",2024/Apr/29,"Xiao, Ting; Ou, Chun-Quan","State Key Laboratory of Organ Failure Research, School of Public Health, Southern Medical University, Guangzhou 511436, China.; State Key Laboratory of Organ Failure Research, School of Public Health, Southern Medical University, Guangzhou 511436, China.",None
38729526,Undernutrition increases the risk of unsuccessful treatment outcomes of patients with tuberculosis in Ethiopia: A multicenter retrospective cohort study.,2024,"Gray, Darren","Population Health Program, QIMR Berghofer Medical Research Institute, Brisbane, Queensland, Australia.",FasilWagnew.Shiferaw@anu.edu.au.
38715224,"The Australian New Zealand Consortium in Children, Adolescents, and Young Adults Oncofertility action plan.",2024,None,None,None
38715048,"Epigenetics of the non-coding RNA nc886 across blood, adipose tissue and skeletal muscle in offspring exposed to diabetes in pregnancy.",2024/May/07,"Martino, David; Saffery, Richard","Murdoch Children's Research Institute, Parkville, Melbourne, VIC, Australia.; Murdoch Children's Research Institute, Parkville, Melbourne, VIC, Australia.",ltd@ruc.dk.
38708404,"More People, More Active, More Often for Heart Health - Taking Action on Physical Activity.",2024,None,None,None
38701239,Supporting best practice in the management of chronic diseases in primary health care settings: a scoping review of training programs for Indigenous Health Workers and Practitioners.,2024,"Pearson, Odette; Othman, Shwikar; Crossing, Sarah; Wittert, Gary; Morey, Kim","Wardliparingga Aboriginal Health Equity, South Australian Health and Medical Research Institute (SAHMRI), Adelaide, SA 5000, Australia; and University of Adelaide, Adelaide, SA 5000, Australia.; Wardliparingga Aboriginal Health Equity, South Australian Health and Medical Research Institute (SAHMRI), Adelaide, SA 5000, Australia; and University of Adelaide, Adelaide, SA 5000, Australia.; Wardliparingga Aboriginal Health Equity, South Australian Health and Medical Research Institute (SAHMRI), Adelaide, SA 5000, Australia.; University of Adelaide, Adelaide, SA 5000, Australia; and Freemasons Centre for Male Health and Well Being, South Australian Health and Medical Research Institute, Adelaide, SA 5000, Australia.; Wardliparingga Aboriginal Health Equity, South Australian Health and Medical Research Institute (SAHMRI), Adelaide, SA 5000, Australia; and University of Adelaide, Adelaide, SA 5000, Australia.",None
38674137,The Phenotypic Variability Associated with Hepatocyte Nuclear Factor 1B Genetic Defects Poses Challenges in Both Diagnosis and Therapy.,2024/Apr/22,None,None,None
38644532,"""Heart"" Outcome in Organ Transplant Recipients With Diabetes: Is GLP-1-RA the Leader of the Pack?",2024/Oct/01,None,None,None
38642570,"Global incidence, prevalence, years lived with disability (YLDs), disability-adjusted life-years (DALYs), and healthy life expectancy (HALE) for 371 diseases and injuries in 204 countries and territories and 811 subnational locations, 1990-2021: a systematic analysis for the Global Burden of Disease Study 2021.",2024/May/18,None,None,None
38627436,The impact of CREBRF rs373863828 Pacific-variant on infant body composition.,2024/Apr/17,None,None,c.mckinlay@auckland.ac.nz.
38623719,2023 Australian guideline for assessing and managing cardiovascular disease risk.,2024/May/20,None,None,None
38615728,One-Year Outcomes Among Children Identified With Celiac Disease Through a Mass Screening Program.,2024/Apr/13,None,None,marisa.stahl@childrenscolorado.org.
38582094,"Global burden of 288 causes of death and life expectancy decomposition in 204 countries and territories and 811 subnational locations, 1990-2021: a systematic analysis for the Global Burden of Disease Study 2021.",2024/May/18,None,None,None
38577168,Mothers' Awareness of Obesity and Its Complications Among Children in the Western Region of Saudi Arabia: A Cross-Sectional Study.,2024,"Shams, Anwar","Department of Pharmacology, College of Medicine, Taif University, Taif, SAU.",None
38551561,"Prevalence, Morbidity, and Mortality of Men With Sex Chromosome Aneuploidy in the Million Veteran Program Cohort.",2024/Mar/04,"Teerlink, Craig; Lynch, Julie A; Gorman, Bryan R","VA Informatics and Computing Infrastructure, VA Salt Lake City Healthcare System, Salt Lake City, Utah.; VA Informatics and Computing Infrastructure, VA Salt Lake City Healthcare System, Salt Lake City, Utah.; VA Boston Healthcare System, Boston, Massachusetts.",None
38521087,"Global fertility in 204 countries and territories, 1950-2021, with forecasts to 2100: a comprehensive demographic analysis for the Global Burden of Disease Study 2021.",2024/May/18,None,None,None
38509612,A rapid review to inform the policy and practice for the implementation of chronic disease prevention and management programs for Aboriginal and Torres Strait Islander people in primary care.,2024/Mar/21,"Pearson, Odette","South Australian Health and Medical Research Institute, Adelaide, SA, Australia.",uday.yadav@anu.edu.au.
38484753,"Global age-sex-specific mortality, life expectancy, and population estimates in 204 countries and territories and 811 subnational locations, 1950-2021, and the impact of the COVID-19 pandemic: a comprehensive demographic analysis for the Global Burden of Disease Study 2021.",2024/May/18,None,None,None
38484068,Efforts to screen kids for type 1 diabetes multiply.,2024/Mar/15,None,None,None
38470554,Ovulation induction and subfertile untreated conception groups offer improved options for interpreting risks associated with ART.,2024,"Kemp-Casey, Anna","Quality Use of Medicines and Pharmacy Research Centre, University of South Australia, Adelaide, Australia.",Michele.Hansen@uwa.edu.au.
38460583,Clinical implications of inaccurate potassium determination in hemolyzed pediatric blood specimens.,2024/Apr/15,None,None,dietzen_d@kids.wustl.edu.
38453190,Codesigning enhanced models of care for Northern Australian Aboriginal and Torres Strait Islander youth with type 2 diabetes: study protocol.,2024/Mar/07,"Wicklow, Brandy","Children's Hospital Research Institute of Manitoba, Winnipeg, Manitoba, Canada.",Stefanie.Puszka@anu.edu.au.
